id,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,title,release_date,developer,genres,multiplayer_or_singleplayer,price,dc_price,overall_review,detailed_review,reviews,percent_positive,win_support,mac_support,lin_support
15635,Ultimate Puzzle Games,GBA,2005,Puzzle,Telegames,0.01,0.0,0.0,0.0,0.02,Hentai Shooter 3D: Christmas Party,2018-11-20,????,Action,Single-player,42.0,12.0,Positive,Very Positive,268.0,94,1,0,0
15636,Combat Flight Simulator 3: Battle for Europe,PC,2002,Simulation,Microsoft Game Studios,0.01,0.01,0.0,0.0,0.02,Drizzlepath: Deja Vu,2018-05-25,Tonguç Bodur,Adventure;Casual;Indie,Single-player,165.0,165.0,Positive,Mostly Positive,77.0,79,1,0,0
15637,Kimikare: New Semester,PSP,2012,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02,Word Rescue,2014-05-05,Redwood Games,Action;Adventure,Single-player,259.0,259.0,Positive,Very Positive,53.0,83,1,1,0
15638,Katekyoo Hitman Reborn! Kindan no Yami no Delta,PS2,2008,Action,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02,Mahjong Deluxe 3,2016-04-22,EnsenaSoft,Casual,Single-player,165.0,165.0,Positive,Very Positive,68.0,80,1,0,0
15641,Elminage II: Sousei no Megami to Unmei no Daichi,PSP,2009,Role-Playing,Starfish,0.0,0.0,0.02,0.0,0.02,Risky Rescue,2016-02-19,Digital Melody,Action;Casual;Indie,Single-player,58.0,58.0,Positive,Mostly Positive,280.0,79,1,1,1
15643,Final Fantasy XIV: Heavensward,PC,2015,Action,Square Enix,0.01,0.01,0.0,0.0,0.02,Find this!,2017-09-01,For Kids,Casual;Indie,Single-player,165.0,165.0,Positive,Very Positive,66.0,98,1,1,1
15649,Tour de France 2014,PS3,2014,Sports,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,All Alone: VR,2017-03-08,8bit,Adventure;Indie,Single-player,229.0,229.0,Positive,Mixed,20.0,55,1,0,0
15651,Tail of the Sun,PS,1996,Role-Playing,ArtDink,0.01,0.01,0.0,0.0,0.02,City Life 2008,2008-09-29,Monte Cristo,Simulation;Strategy,Single-player,369.0,369.0,Positive,Positive,15.0,93,1,0,0
15657,Bejeweled Blitz,PC,2010,Puzzle,Mastertronic,0.0,0.01,0.0,0.0,0.02,Nightmare,2016-12-20,JACK TWIN,Action;Adventure;Indie,Single-player,349.0,349.0,Mixed,Mostly Positive,257.0,74,1,0,0
15661,Song of the Deep,PC,2016,Action,Insomniac Games,0.02,0.0,0.0,0.0,0.02,SOLITUNE,2017-04-25,Rat King Entertainment,Adventure;Casual;Indie,Single-player,85.0,85.0,Positive,Mostly Positive,84.0,79,1,1,1
